LSOA11CD,Borough,All categories: Distance travelled to work,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Work mainly at or from home,Other,Total distance (km),Average distance (km)
E01000145,Barnet ,625,65.0,68.0,199.0,75.0,10.0,4.0,4.0,4.0,118.0,78.0,4202.5,9.8
E01000146,Barnet ,942,59.0,96.0,362.0,111.0,13.0,6.0,6.0,11.0,143.0,135.0,6692.2,10.1
E01000147,Barnet ,848,112.0,127.0,139.0,189.0,20.0,5.0,9.0,14.0,76.0,157.0,7442.7,12.1
E01000148,Barnet ,803,97.0,109.0,149.0,249.0,20.0,4.0,1.0,7.0,51.0,116.0,6811.2,10.7
E01000150,Barnet ,1020,156.0,153.0,177.0,278.0,18.0,7.0,10.0,7.0,77.0,137.0,8312.1,10.3
E01000151,Barnet ,587,47.0,85.0,131.0,141.0,16.0,7.0,3.0,9.0,62.0,86.0,5315.7,12.1
E01000152,Barnet ,607,80.0,103.0,140.0,147.0,15.0,2.0,5.0,5.0,43.0,67.0,5028.0,10.1
E01000153,Barnet ,578,78.0,92.0,123.0,142.0,17.0,7.0,7.0,7.0,33.0,72.0,5081.8,10.7
E01000154,Barnet ,553,78.0,62.0,89.0,176.0,11.0,3.0,4.0,4.0,34.0,92.0,4350.8,10.2
E01000155,Barnet ,1018,96.0,114.0,174.0,339.0,22.0,8.0,3.0,10.0,74.0,178.0,8514.6,11.1
E01000156,Barnet ,1003,64.0,105.0,335.0,205.0,21.0,5.0,5.0,12.0,131.0,120.0,7757.9,10.3
E01000157,Barnet ,838,64.0,99.0,262.0,197.0,14.0,7.0,3.0,11.0,89.0,92.0,7687.8,11.7
E01000158,Barnet ,723,62.0,87.0,134.0,245.0,17.0,6.0,5.0,1.0,76.0,90.0,5423.5,9.7
E01000159,Barnet ,798,93.0,85.0,155.0,246.0,13.0,5.0,3.0,7.0,99.0,92.0,6499.3,10.7
E01000160,Barnet ,1209,61.0,84.0,218.0,480.0,36.0,11.0,11.0,16.0,134.0,158.0,12402.7,13.5
E01000161,Barnet ,993,71.0,198.0,210.0,284.0,17.0,10.0,6.0,6.0,81.0,110.0,7884.8,9.8
E01000162,Barnet ,741,95.0,75.0,162.0,193.0,14.0,5.0,8.0,10.0,92.0,87.0,6287.2,11.2
E01000163,Barnet ,750,60.0,110.0,213.0,183.0,18.0,6.0,7.0,9.0,61.0,83.0,6947.0,11.5
