LSOA11CD,Borough,All categories: Economic activity,Economically active: Total,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed with employees: Part-time,Economically active: Self-employed with employees: Full-time,Economically active: Self-employed without employees: Part-time,Economically active: Self-employed without employees: Full-time,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Total,Economically inactive: Retired,Economically inactive: Student (including full-time students),Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other
E01000145,Barnet ,992,678.0,116.0,283.0,8.0,43.0,59.0,89.0,47.0,33.0,314.0,66.0,108.0,88.0,14.0,38.0
E01000146,Barnet ,1352,1042.0,127.0,535.0,12.0,34.0,83.0,114.0,78.0,59.0,310.0,62.0,127.0,46.0,36.0,39.0
E01000147,Barnet ,1335,911.0,164.0,455.0,5.0,33.0,46.0,115.0,54.0,39.0,424.0,133.0,121.0,76.0,27.0,67.0
E01000148,Barnet ,1421,913.0,160.0,451.0,6.0,27.0,35.0,76.0,82.0,76.0,508.0,107.0,138.0,110.0,82.0,71.0
E01000150,Barnet ,1532,1120.0,205.0,565.0,8.0,37.0,54.0,98.0,79.0,74.0,412.0,143.0,98.0,87.0,37.0,47.0
E01000151,Barnet ,1127,705.0,151.0,301.0,6.0,13.0,33.0,54.0,97.0,50.0,422.0,64.0,125.0,102.0,64.0,67.0
E01000152,Barnet ,1116,716.0,178.0,290.0,6.0,10.0,35.0,52.0,87.0,58.0,400.0,69.0,139.0,93.0,55.0,44.0
E01000153,Barnet ,1107,669.0,150.0,302.0,7.0,9.0,36.0,42.0,70.0,53.0,438.0,123.0,102.0,83.0,76.0,54.0
E01000154,Barnet ,979,627.0,111.0,287.0,4.0,23.0,33.0,70.0,58.0,41.0,352.0,79.0,88.0,64.0,77.0,44.0
E01000155,Barnet ,1452,1115.0,165.0,541.0,15.0,46.0,56.0,137.0,74.0,81.0,337.0,59.0,120.0,78.0,28.0,52.0
E01000156,Barnet ,1418,1066.0,155.0,548.0,9.0,40.0,61.0,144.0,53.0,56.0,352.0,117.0,100.0,64.0,31.0,40.0
E01000157,Barnet ,1172,906.0,122.0,525.0,2.0,20.0,60.0,91.0,64.0,22.0,266.0,76.0,65.0,69.0,37.0,19.0
E01000158,Barnet ,1098,800.0,150.0,389.0,3.0,29.0,37.0,91.0,57.0,44.0,298.0,93.0,74.0,54.0,40.0,37.0
E01000159,Barnet ,1271,878.0,153.0,420.0,10.0,37.0,57.0,83.0,69.0,49.0,393.0,143.0,112.0,57.0,36.0,45.0
E01000160,Barnet ,1654,1275.0,147.0,736.0,12.0,55.0,98.0,129.0,56.0,42.0,379.0,112.0,103.0,76.0,37.0,51.0
E01000161,Barnet ,1413,1061.0,135.0,487.0,5.0,31.0,57.0,241.0,52.0,53.0,352.0,101.0,109.0,46.0,54.0,42.0
E01000162,Barnet ,1146,812.0,155.0,401.0,9.0,31.0,39.0,82.0,63.0,32.0,334.0,104.0,89.0,62.0,48.0,31.0
E01000163,Barnet ,1211,860.0,146.0,447.0,7.0,17.0,33.0,84.0,99.0,27.0,351.0,76.0,82.0,62.0,92.0,39.0
E01000164,Barnet ,1225,866.0,156.0,413.0,8.0,18.0,53.0,98.0,74.0,46.0,359.0,89.0,95.0,77.0,64.0,34.0
E01000165,Barnet ,1427,1079.0,149.0,521.0,10.0,40.0,63.0,202.0,66.0,28.0,348.0,113.0,81.0,75.0,30.0,49.0
E01000166,Barnet ,1144,788.0,137.0,418.0,11.0,32.0,36.0,80.0,49.0,25.0,356.0,152.0,73.0,65.0,38.0,28.0
E01000167,Barnet ,977,695.0,128.0,366.0,3.0,12.0,41.0,54.0,54.0,37.0,282.0,97.0,71.0,50.0,30.0,34.0
E01000168,Barnet ,1140,772.0,140.0,379.0,12.0,48.0,60.0,72.0,36.0,25.0,368.0,166.0,79.0,65.0,25.0,33.0
E01000169,Barnet ,1121,854.0,143.0,466.0,13.0,34.0,48.0,91.0,40.0,19.0,267.0,110.0,57.0,47.0,37.0,16.0
E01000170,Barnet ,1172,843.0,134.0,463.0,3.0,32.0,46.0,74.0,55.0,36.0,329.0,125.0,74.0,60.0,49.0,21.0
