LSOA21CD,All categories: Highest level of qualification_weighted,Highest level of qualification: Level 4 qualifications and above_weighted
E01000969,1791.0,1278.0
E01000970,1362.0,984.0
E01000971,1237.0,798.0
E01000972,1676.0,810.0
E01000973,1654.0,939.0
E01000974,1491.0,683.0
E01000975,1344.0,641.0
E01000976,1512.0,550.0
E01000977,1479.0,550.0
E01000978,1511.0,689.0
E01000979,1423.0,693.0
E01000980,1090.0,356.0
E01000981,1258.0,390.0
E01000982,1265.0,412.0
E01000983,1381.0,438.0
E01000984,1466.0,501.0
E01000985,1183.0,362.0
E01000986,1407.0,575.0
E01000987,1192.0,357.0
E01000989,1323.0,343.0
E01000990,1056.0,195.0
E01000991,1394.0,392.0
E01000992,1435.0,339.0
E01000993,1289.0,372.0
E01000994,1223.0,351.0
E01000995,1247.0,369.0
E01000996,1011.0,322.0
E01000997,1086.0,299.0
E01000998,1227.0,387.0
E01000999,1082.0,305.0
E01001000,992.0,311.0
E01001001,909.0,235.0
E01001002,1035.0,303.0
E01001003,1134.0,339.0
E01001004,1519.0,445.0
E01001005,1210.0,361.0
E01001006,1074.0,276.0
E01001007,1468.0,332.0
E01001008,1180.0,239.0
E01001009,1328.0,420.0
E01001010,1097.0,188.0
E01001011,1440.0,420.0
E01001012,1491.0,451.0
E01001013,1541.0,342.0
E01001015,1101.0,313.0
E01001016,1361.0,466.0
E01001017,1329.0,534.0
E01001018,1268.0,370.0
E01001019,1256.0,434.0
E01001020,1326.0,370.0
E01001021,1038.0,188.0
E01001022,1216.0,320.0
E01001023,1075.0,282.0
E01001024,1124.0,390.0
E01001025,1026.0,285.0
E01001026,1345.0,324.0
E01001027,1212.0,393.0
