LSOA21CD,Borough,Total: All households,1 room,2 rooms,3 rooms,4 rooms,5 rooms,6 rooms,7 rooms,8 rooms,9 or more rooms
E01000228,Barnet ,459,4.0,9.0,31.0,85.0,196.0,67.0,21.0,15.0,31.0
E01000253,Barnet ,711,3.0,17.0,72.0,67.0,162.0,121.0,96.0,86.0,87.0
E01000279,Barnet ,509,0.0,1.0,31.0,81.0,96.0,83.0,67.0,54.0,96.0
E01000280,Barnet ,511,0.0,5.0,15.0,76.0,180.0,106.0,53.0,23.0,53.0
E01000286,Barnet ,667,7.0,77.0,267.0,115.0,179.0,12.0,6.0,3.0,1.0
E01000290,Barnet ,668,0.0,83.0,217.0,104.0,116.0,70.0,34.0,17.0,27.0
E01000271,Barnet ,614,8.0,24.0,134.0,51.0,187.0,91.0,73.0,21.0,25.0
E01000272,Barnet ,500,1.0,25.0,59.0,39.0,94.0,114.0,80.0,46.0,42.0
E01000273,Barnet ,742,19.0,132.0,248.0,113.0,95.0,63.0,38.0,17.0,17.0
E01000281,Barnet ,785,17.0,155.0,229.0,194.0,127.0,44.0,16.0,2.0,1.0
E01000282,Barnet ,695,2.0,48.0,100.0,75.0,381.0,61.0,17.0,6.0,5.0
E01000115,Barnet ,480,1.0,3.0,10.0,16.0,316.0,92.0,29.0,8.0,5.0
E01000116,Barnet ,617,1.0,51.0,24.0,51.0,440.0,45.0,4.0,0.0,1.0
E01000119,Barnet ,628,1.0,13.0,43.0,36.0,448.0,55.0,13.0,12.0,7.0
E01000120,Barnet ,496,1.0,4.0,7.0,14.0,384.0,67.0,15.0,0.0,4.0
E01000122,Barnet ,520,3.0,24.0,20.0,23.0,382.0,54.0,9.0,4.0,1.0
E01000117,Barnet ,694,4.0,9.0,201.0,97.0,321.0,41.0,14.0,5.0,2.0
E01000118,Barnet ,751,2.0,42.0,126.0,65.0,450.0,56.0,6.0,4.0,0.0
E01000121,Barnet ,522,3.0,61.0,192.0,155.0,86.0,17.0,3.0,3.0,2.0
E01000123,Barnet ,732,9.0,99.0,144.0,241.0,187.0,35.0,11.0,5.0,1.0
E01000124,Barnet ,792,12.0,141.0,276.0,205.0,117.0,23.0,9.0,4.0,5.0
E01000265,Barnet ,773,10.0,145.0,316.0,69.0,184.0,39.0,5.0,2.0,3.0
E01000266,Barnet ,510,0.0,8.0,21.0,16.0,181.0,167.0,71.0,32.0,14.0
E01000274,Barnet ,698,14.0,77.0,150.0,209.0,168.0,47.0,25.0,7.0,1.0
E01000320,Barnet ,809,15.0,176.0,212.0,56.0,229.0,91.0,16.0,8.0,6.0
E01000322,Barnet ,803,16.0,126.0,467.0,54.0,54.0,57.0,18.0,6.0,5.0
E01000275,Barnet ,665,2.0,73.0,201.0,121.0,161.0,77.0,14.0,9.0,7.0
E01000277,Barnet ,740,75.0,125.0,344.0,104.0,47.0,27.0,5.0,9.0,4.0
E01000283,Barnet ,476,0.0,0.0,4.0,13.0,298.0,93.0,42.0,13.0,13.0
E01000284,Barnet ,814,45.0,124.0,375.0,157.0,62.0,19.0,10.0,16.0,6.0
E01000321,Barnet ,831,68.0,147.0,269.0,107.0,148.0,53.0,17.0,14.0,8.0
E01000195,Barnet ,721,13.0,189.0,203.0,116.0,150.0,40.0,5.0,2.0,3.0
E01000229,Barnet ,585,2.0,19.0,203.0,158.0,155.0,35.0,10.0,2.0,1.0
E01000230,Barnet ,660,1.0,24.0,138.0,126.0,231.0,93.0,30.0,9.0,8.0
E01000231,Barnet ,619,6.0,38.0,200.0,49.0,276.0,36.0,9.0,3.0,2.0
E01000232,Barnet ,708,9.0,85.0,158.0,73.0,278.0,53.0,24.0,13.0,15.0
E01000233,Barnet ,659,9.0,47.0,94.0,77.0,319.0,66.0,20.0,18.0,9.0
E01000186,Barnet ,510,1.0,4.0,10.0,40.0,255.0,125.0,49.0,18.0,8.0
E01000187,Barnet ,598,16.0,55.0,72.0,60.0,276.0,75.0,24.0,15.0,5.0
E01000188,Barnet ,509,0.0,14.0,31.0,31.0,190.0,116.0,55.0,45.0,27.0
E01000189,Barnet ,983,1.0,226.0,427.0,180.0,85.0,16.0,33.0,9.0,6.0
