LSOA21CD,Number of sales 2011_weighted,Number of sales 2021_weighted
E01000592,38.0,46.0
E01000593,52.0,29.0
E01000594,63.0,41.0
E01000595,28.0,18.0
E01000596,31.0,0.0
E01000599,26.0,11.0
E01000601,26.0,8.0
E01000602,13.0,13.0
E01000603,48.0,13.0
E01000604,10.0,13.0
E01000605,10.0,1.0
E01000606,47.0,22.0
E01000607,49.0,41.0
E01000608,62.0,45.0
E01000609,76.0,43.0
E01000610,39.0,49.0
E01000611,24.0,22.0
E01000612,39.0,36.0
E01000613,32.0,34.0
E01000615,51.0,174.0
E01000616,39.0,90.0
E01000617,19.0,36.0
E01000618,26.0,51.0
E01000619,40.0,21.0
E01000620,14.0,102.0
E01000621,47.0,26.0
E01000622,78.0,55.0
E01000623,18.0,38.0
E01000624,59.0,65.0
E01000625,75.0,56.0
E01000626,14.0,20.0
E01000627,27.0,18.0
E01000628,23.0,16.0
E01000629,39.0,31.0
E01000630,38.0,17.0
E01000631,46.0,25.0
E01000632,16.0,21.0
E01000633,36.0,18.0
E01000634,43.0,45.0
E01000636,19.0,18.0
E01000637,81.0,71.0
E01000638,47.0,26.0
E01000639,47.0,85.0
E01000640,43.0,36.0
E01000641,57.0,47.0
E01000642,98.0,40.0
E01000643,11.0,50.0
E01000644,77.0,94.0
E01000645,68.0,144.0
E01000646,133.0,135.0
E01000647,101.0,146.0
E01000648,66.0,165.0
E01000649,172.0,176.0
E01000650,73.0,99.0
E01000651,88.0,114.0
E01000652,99.0,143.0
E01000653,64.0,106.0
E01000654,47.0,95.0
E01000655,67.0,125.0
E01000656,54.0,144.0
E01000657,95.0,162.0
E01000658,95.0,76.0
E01000659,72.0,129.0
E01000661,63.0,197.0
E01000662,64.0,121.0
E01000663,97.0,125.0
E01000664,82.0,129.0
E01000665,92.0,143.0
E01000666,85.0,159.0
E01000667,122.0,144.0
E01000668,120.0,195.0
E01000669,167.0,183.0
E01000670,89.0,84.0
E01000671,131.0,209.0
E01000672,118.0,163.0
E01000673,131.0,156.0
E01000674,111.0,133.0
E01000676,104.0,93.0
E01000677,123.0,143.0
E01000678,111.0,119.0
E01000679,114.0,194.0
E01000680,78.0,130.0
E01000681,83.0,109.0
E01000682,109.0,124.0
E01000683,112.0,177.0
E01000684,119.0,168.0
E01000685,81.0,149.0
E01000686,54.0,84.0
E01000687,103.0,168.0
E01000688,72.0,79.0
E01000689,91.0,120.0
E01000690,80.0,109.0
E01000691,50.0,128.0
E01000692,123.0,131.0
E01000693,104.0,148.0
E01000694,128.0,218.0
E01000695,128.0,122.0
E01000696,129.0,128.0
E01000697,165.0,212.0
E01000698,45.0,126.0
E01000699,79.0,148.0
E01000700,102.0,153.0
E01000701,89.0,192.0
E01000702,99.0,121.0
E01000703,111.0,155.0
E01000704,96.0,148.0
E01000705,46.0,103.0
E01000706,78.0,118.0
E01000707,90.0,132.0
E01000708,85.0,120.0
E01000709,74.0,127.0
E01000710,142.0,223.0
E01000711,151.0,185.0
E01000712,150.0,209.0
E01000713,146.0,275.0
E01000714,184.0,166.0
E01000715,206.0,183.0
E01000716,94.0,140.0
E01000717,216.0,197.0
E01000718,107.0,140.0
E01000719,55.0,110.0
E01000720,47.0,74.0
E01000721,22.0,45.0
E01000722,90.0,187.0
E01000723,74.0,106.0
E01000724,39.0,37.0
E01000725,46.0,97.0
E01000726,81.0,112.0
E01000727,77.0,214.0
E01000728,49.0,122.0
E01000729,49.0,68.0
E01000730,32.0,63.0
E01000731,30.0,65.0
E01000732,66.0,103.0
E01000733,63.0,98.0
E01000734,52.0,90.0
E01000735,53.0,53.0
E01000736,46.0,102.0
E01000737,46.0,78.0
E01000738,47.0,121.0
E01000739,27.0,57.0
E01000741,129.0,168.0
E01000742,137.0,199.0
E01000743,60.0,59.0
E01000744,36.0,42.0
E01000745,125.0,201.0
